Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-04 00:00:00-04:00,199.5,201.72999572753906,194.74000549316406,198.47999572753906,125368100,0.0,0.0
2026-05-05 00:00:00-04:00,199.3000030517578,200.24000549316406,196.02999877929688,196.5,113406600,0.0,0.0
2026-05-06 00:00:00-04:00,199.88999938964844,208.27000427246094,198.61000061035156,207.8300018310547,188362800,0.0,0.0
2026-05-07 00:00:00-04:00,208.33999633789062,214.1999969482422,206.5,211.5,168307900,0.0,0.0
2026-05-08 00:00:00-04:00,213.02999877929688,217.8000030517578,212.88999938964844,215.1999969482422,136421400,0.0,0.0
2026-05-11 00:00:00-04:00,214.0399932861328,222.3000030517578,213.88999938964844,219.44000244140625,160685800,0.0,0.0
2026-05-12 00:00:00-04:00,218.5500030517578,223.75,214.9199981689453,220.77999877929688,159176600,0.0,0.0
2026-05-13 00:00:00-04:00,224.92999267578125,227.83999633789062,221.57000732421875,225.8300018310547,150405400,0.0,0.0
2026-05-14 00:00:00-04:00,229.85000610351562,236.5399932861328,229.3000030517578,235.74000549316406,180782900,0.0,0.0
2026-05-15 00:00:00-04:00,229.75999450683594,231.5,224.24000549316406,225.32000732421875,180977600,0.0,0.0
2026-05-18 00:00:00-04:00,229.8699951171875,230.0,218.3699951171875,222.32000732421875,146280900,0.0,0.0
2026-05-19 00:00:00-04:00,219.6199951171875,224.47999572753906,217.91000366210938,220.61000061035156,140948200,0.0,0.0
2026-05-20 00:00:00-04:00,223.17999267578125,226.1300048828125,220.5,223.47000122070312,184201600,0.0,0.0
2026-05-21 00:00:00-04:00,222.2899932861328,227.39999389648438,217.92999267578125,219.50999450683594,203381800,0.0,0.0
2026-05-22 00:00:00-04:00,220.89999389648438,221.00999450683594,214.8000030517578,215.3300018310547,169275700,0.0,0.0
2026-05-26 00:00:00-04:00,216.5399932861328,218.17999267578125,212.0,214.86000061035156,187202600,0.0,0.0
2026-05-27 00:00:00-04:00,214.1199951171875,214.14999389648438,208.77999877929688,212.60000610351562,167601200,0.0,0.0
2026-05-28 00:00:00-04:00,211.27999877929688,215.52000427246094,211.22000122070312,214.25,143996000,0.0,0.0
2026-05-29 00:00:00-04:00,214.5800018310547,217.86000061035156,211.1300048828125,211.13999938964844,289410600,0.0,0.0
2026-06-01 00:00:00-04:00,215.72999572753906,224.8699951171875,215.6999969482422,224.36000061035156,211869300,0.0,0.0
