Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-01 00:00:00-04:00,241.10461065045544,241.16219011250507,237.00671606727997,237.42897033691406,23213300,0.0,0.0
2021-06-02 00:00:00-04:00,238.1295578675878,239.22361157042198,235.9318441224372,237.3330078125,19406700,0.0,0.0
2021-06-03 00:00:00-04:00,235.33684170241455,236.41169739236216,233.20631371426092,235.80709838867188,25307700,0.0,0.0
2021-06-04 00:00:00-04:00,237.77446253573572,241.50768232361588,237.53453834719892,240.68234252929688,25281100,0.0,0.0
2021-06-07 00:00:00-04:00,239.90497213832194,243.84932608170533,239.74182545986196,243.5806121826172,23079200,0.0,0.0
2021-06-08 00:00:00-04:00,244.87622075345962,245.69196883019157,242.3330156367018,242.39060974121094,22455000,0.0,0.0
2021-06-09 00:00:00-04:00,243.58064130243469,245.23132096206123,243.00483201146952,243.3695068359375,17937600,0.0,0.0
2021-06-10 00:00:00-04:00,244.04127308607627,247.08350993870562,243.4462658042312,246.87237548828125,24563600,0.0,0.0
2021-06-11 00:00:00-04:00,247.59211627377962,248.0719645734149,246.26773028076767,247.4961700439453,18999700,0.0,0.0
2021-06-14 00:00:00-04:00,247.50578718025523,249.4731830999678,246.45011489255833,249.4156036376953,19150500,0.0,0.0
2021-06-15 00:00:00-04:00,249.30042636423005,249.5115608310335,247.29466357340826,247.94725036621094,18038900,0.0,0.0
2021-06-16 00:00:00-04:00,248.94530582063734,250.07774084164856,244.16602059107635,247.00672912597656,27220000,0.0,0.0
2021-06-17 00:00:00-04:00,245.74955009057246,251.2006205192293,245.6919706294516,250.38487243652344,27565500,0.0,0.0
2021-06-18 00:00:00-04:00,249.16602634734727,251.7283998004435,248.32148867568787,248.9740753173828,37202200,0.0,0.0
2021-06-21 00:00:00-04:00,249.34837516306666,252.89923497520954,247.5249574987105,252.0451202392578,26696100,0.0,0.0
2021-06-22 00:00:00-04:00,252.1315049199105,255.07778066280747,251.82439496305233,254.80906677246094,24694100,0.0,0.0
2021-06-23 00:00:00-04:00,255.26965695245312,256.0757984799058,253.77253278895358,254.57867431640625,19518700,0.0,0.0
2021-06-24 00:00:00-04:00,255.43289021487416,257.05478006360823,254.77069711508946,255.9415283203125,21446900,0.0,0.0
2021-06-25 00:00:00-04:00,255.50002957701327,256.4789095394784,254.08927444096972,254.33877563476562,25611100,0.0,0.0
2021-06-28 00:00:00-04:00,255.46170811912478,258.0624783950666,255.19299417128897,257.8897399902344,19590000,0.0,0.0
2021-06-29 00:00:00-04:00,258.03363852255484,260.70159408895256,257.1795237173201,260.461669921875,19937800,0.0,0.0
2021-06-30 00:00:00-04:00,259.7802529375048,260.42323320384054,258.7341872468465,259.9817810058594,21656500,0.0,0.0
2021-07-01 00:00:00-04:00,258.7438091696623,260.88394332062984,258.7342321183935,260.65362548828125,16725300,0.0,0.0
2021-07-02 00:00:00-04:00,261.82439577231037,266.7956164160723,261.51728587546654,266.459716796875,26458000,0.0,0.0
2021-07-06 00:00:00-04:00,266.82450452254136,268.11049474118505,263.2448248561012,266.46942138671875,31565600,0.0,0.0
2021-07-07 00:00:00-04:00,268.1393110275168,269.3773282430186,265.9799929781562,268.64794921875,23260000,0.0,0.0
2021-07-08 00:00:00-04:00,265.74007459350395,267.49633638000387,263.79189099319393,266.2391357421875,24618600,0.0,0.0
2021-07-09 00:00:00-04:00,264.6075400651112,266.8436201918425,264.2236672937446,266.7380676269531,23916700,0.0,0.0
2021-07-12 00:00:00-04:00,267.9089967844055,268.4943978499109,265.4329623197288,266.1431579589844,18931700,0.0,0.0
2021-07-13 00:00:00-04:00,266.3350372176916,271.45023740575635,266.2103012391227,269.6556091308594,26120100,0.0,0.0
2021-07-14 00:00:00-04:00,270.9704378944242,272.2276385475832,269.24296582329544,271.1239929199219,23113700,0.0,0.0
2021-07-15 00:00:00-04:00,270.63442855853714,271.1238831737116,268.5518741472632,269.7035217285156,22604200,0.0,0.0
2021-07-16 00:00:00-04:00,270.7016516270204,272.6498347308158,268.19682804350134,269.4348449707031,26186800,0.0,0.0
2021-07-19 00:00:00-04:00,267.68821296919947,269.0701786607104,263.3887901846065,265.8456115722656,32935600,0.0,0.0
2021-07-20 00:00:00-04:00,266.8244526302893,269.64596306299137,265.1258001402408,268.0624694824219,26259700,0.0,0.0
2021-07-21 00:00:00-04:00,267.65944319932055,270.1738442376785,266.1143453427813,270.0586853027344,24364300,0.0,0.0
2021-07-22 00:00:00-04:00,272.40034572584136,274.87637995751953,271.99728945681113,274.607666015625,23384100,0.0,0.0
2021-07-23 00:00:00-04:00,275.78801102778897,278.30241146815854,274.9530796603886,277.9953308105469,22768100,0.0,0.0
2021-07-26 00:00:00-04:00,277.35232595583216,278.01451897326893,275.08745596802055,277.4002990722656,23176100,0.0,0.0
2021-07-27 00:00:00-04:00,277.76502450299625,277.9089731585834,271.54620828066527,274.99151611328125,33604100,0.0,0.0
2021-07-28 00:00:00-04:00,277.34276730213355,278.4560190983951,272.3907283274344,274.6844177246094,33566900,0.0,0.0
2021-07-29 00:00:00-04:00,274.70353348763825,276.9876159825094,274.5499785237899,274.95306396484375,18168300,0.0,0.0
2021-07-30 00:00:00-04:00,273.6767461132666,275.10668495635474,272.4675187874959,273.4272155761719,20944800,0.0,0.0
2021-08-02 00:00:00-04:00,274.8187321390319,275.2122112993794,272.3043314785068,273.3408203125,16267400,0.0,0.0
2021-08-03 00:00:00-04:00,273.91665931799884,275.6537080927837,272.5538770462147,275.5481262207031,17879000,0.0,0.0
2021-08-04 00:00:00-04:00,274.68444825278436,275.9992283215032,273.17771708876165,274.9627685546875,16191300,0.0,0.0
2021-08-05 00:00:00-04:00,275.317855802354,277.95702231995693,274.56929337977533,277.8514404296875,13900200,0.0,0.0
2021-08-06 00:00:00-04:00,276.8820984514025,277.83218879233317,276.02795434835366,277.7937927246094,16589300,0.0,0.0
2021-08-09 00:00:00-04:00,278.07213285524966,279.7995752873609,276.2103188203015,276.7093505859375,16117600,0.0,0.0
2021-08-10 00:00:00-04:00,277.16040859309794,277.5922838439448,273.70552373680465,274.8955383300781,18616600,0.0,0.0
2021-08-11 00:00:00-04:00,275.63448047398396,277.02605240134324,274.338884073963,275.3849792480469,13955900,0.0,0.0
2021-08-12 00:00:00-04:00,275.0778410317268,278.28322415990436,274.7995208173079,278.1296691894531,14561300,0.0,0.0
2021-08-13 00:00:00-04:00,277.81303719840986,281.09518381779094,277.64026951768847,281.0472106933594,18249000,0.0,0.0
2021-08-16 00:00:00-04:00,281.37344781790824,282.9377579581513,278.33119671669976,282.72662353515625,22507600,0.0,0.0
2021-08-17 00:00:00-04:00,280.60571955216835,281.6037829881996,279.34848998709674,281.26788330078125,20075300,0.0,0.0
2021-08-18 00:00:00-04:00,280.8064519186895,283.4795157822408,279.1045176293655,279.5468444824219,21813000,0.56,0.0
2021-08-19 00:00:00-04:00,277.5852791245708,286.0275472712108,277.5372141574895,285.3544616699219,29850500,0.0,0.0
