Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-03 00:00:00-04:00,183.43558380831382,184.6660859724945,182.59208172180752,184.39816284179688,10242100,0.0,0.0
2024-07-05 00:00:00-04:00,184.43786493247498,189.39960668236182,184.3783264542018,189.1416015625,20967500,0.0,0.0
2024-07-08 00:00:00-04:00,188.4469411036859,188.71487939155085,186.34316749742393,187.58360290527344,21035900,0.0,0.0
2024-07-09 00:00:00-04:00,188.8538217724112,189.89579062187278,187.2759914489027,187.53399658203125,15121400,0.0,0.0
2024-07-10 00:00:00-04:00,187.70266681734014,190.28277834321375,187.5835898719109,189.71713256835938,15952500,0.0,0.0
2024-07-11 00:00:00-04:00,188.39735066829172,189.39961710579536,183.66384453862594,184.1501007080078,25625800,0.0,0.0
2024-07-12 00:00:00-04:00,183.66381817797418,185.67828393880026,183.0783363373865,183.65390014648438,22898400,0.0,0.0
2024-07-15 00:00:00-04:00,183.5050408426138,186.79964437744582,183.5050408426138,185.10272216796875,16474000,0.0,0.0
2024-07-16 00:00:00-04:00,185.92637584595624,187.23626771226316,181.9669007256916,182.5126953125,18290700,0.0,0.0
2024-07-17 00:00:00-04:00,181.56997921247492,182.14554307379208,178.52346250305996,179.63490295410156,20734100,0.0,0.0
2024-07-18 00:00:00-04:00,180.53793067512186,181.10357651103143,175.11971708479683,176.33038330078125,25315700,0.0,0.0
2024-07-19 00:00:00-04:00,177.511294978359,178.91049478015813,175.77468519675912,176.30062866210938,18881900,0.0,0.0
2024-07-22 00:00:00-04:00,179.20816928485795,181.30202472668176,178.85092330428975,180.2799072265625,24100300,0.0,0.0
2024-07-23 00:00:00-04:00,180.6569917790045,182.20505253920132,180.150884509072,180.3989715576172,36352700,0.0,0.0
2024-07-24 00:00:00-04:00,172.27166103830413,174.84183935353695,170.50528237716065,171.30908203125,49585200,0.0,0.0
2024-07-25 00:00:00-04:00,171.1999255778285,172.09303295252627,165.91070754972583,166.00001525878906,44852000,0.0,0.0
2024-07-26 00:00:00-04:00,165.8710141586151,166.80382399385917,162.8046615111257,165.72216796875,41336900,0.0,0.0
2024-07-29 00:00:00-04:00,167.5381777702437,169.12592608314606,166.70460877031735,168.23281860351562,20293800,0.0,0.0
